Id persona,Sexo,Rol,Departamento,Subsistema,Año lectivo,Cantidad de días ingreso a CREA,Cantidad de Comentarios posteados,Cantidad de Acciones totales,Cantidad de días de ingreso a Biblioteca,Cantidad de préstamos en biblioteca
6651,Femenino,Docente,Tacuarembo,DGES,2021,110,436,1169,7,4
9251,Masculino,Docente,Florida,DGES,2021,188,65,1240,0,0
9409,Masculino,Docente,Durazno,DGES,2021,57,42,248,2,1
9569,Femenino,Docente,Florida,DGES,2021,119,320,1410,0,0
9629,Femenino,Docente,Canelones,DGEIP,2021,52,55,519,0,0
9667,Femenino,Docente,Florida,DGEIP,2021,0,0,0,0,0
9671,Femenino,Docente,Canelones,DGEIP,2021,27,76,249,2,3
9674,Femenino,Docente,Canelones,DGEIP,2021,102,494,1468,0,0
9724,Masculino,Docente,Florida,DGEIP,2021,92,166,730,1,3
9830,Masculino,Docente,Montevideo,DGETP,2021,87,12,880,0,0
9907,Femenino,Docente,Florida,DGES,2021,182,21,656,0,0
9917,Femenino,Docente,Florida,DGEIP,2021,13,12,50,0,0
9932,Femenino,Docente,Florida,DGES,2021,220,108,2568,7,7
9974,Femenino,Docente,Florida,DGEIP,2021,82,2,667,0,0
9988,Femenino,Docente,Florida,DGEIP,2021,10,0,31,1,3
10042,Masculino,Docente,Florida,DGES,2021,95,15,421,1,1
10058,Femenino,Docente,Durazno,DGETP,2021,215,201,3108,11,7
10058,Femenino,Docente,Durazno,DGES,2021,215,201,3108,11,7
10242,Femenino,Docente,Florida,DGES,2021,103,173,895,0,0
10242,Femenino,Docente,Florida,DGETP,2021,103,173,895,0,0
10671,Masculino,Docente,Florida,DGETP,2021,97,15,421,0,0
10722,Femenino,Docente,Montevideo,DGETP,2021,93,21,1298,12,11
10743,Femenino,Docente,Florida,DGEIP,2021,14,4,43,0,0
10763,Femenino,Docente,Canelones,DGEIP,2021,21,122,241,1,1
10770,Femenino,Docente,Florida,DGES,2021,151,45,392,3,5
10771,Femenino,Docente,Canelones,DGEIP,2021,104,277,978,2,1
10778,Femenino,Docente,Florida,DGES,2021,108,57,492,0,0
10778,Femenino,Docente,Florida,DGETP,2021,108,57,492,0,0
11060,Masculino,Docente,Canelones,DGES,2021,137,245,1118,15,6
11068,Femenino,Docente,Canelones,DGEIP,2021,94,412,1674,8,6
11071,Femenino,Docente,Canelones,DGEIP,2021,86,112,404,0,0
11074,Femenino,Docente,Canelones,DGEIP,2021,18,4,82,0,0
11217,Femenino,Docente,Canelones,DGEIP,2021,70,78,557,1,2
11225,Femenino,Docente,Canelones,DGES,2021,109,13,374,0,0
11235,Femenino,Docente,Montevideo,DGES,2021,43,34,194,0,0
11241,Femenino,Docente,Florida,DGEIP,2021,33,10,224,1,0
11327,Femenino,Docente,Montevideo,DGEIP,2021,51,127,360,0,0
11412,Femenino,Docente,Canelones,DGEIP,2021,48,106,381,3,2
11439,Femenino,Docente,Florida,DGEIP,2021,1,0,1,0,0
11496,Femenino,Docente,Montevideo,DGETP,2021,0,0,0,0,0
11499,Femenino,Docente,Canelones,DGEIP,2021,105,93,1202,7,2
11504,Femenino,Docente,Canelones,DGEIP,2021,1,0,1,1,1
11517,Masculino,Docente,Florida,DGES,2021,166,85,937,0,0
11520,Masculino,Docente,Florida,DGES,2021,113,15,580,0,0
11609,Femenino,Docente,Florida,DGES,2021,165,12,718,5,2
11657,Femenino,Docente,Canelones,DGEIP,2021,38,26,970,0,0
11692,Femenino,Docente,Canelones,DGEIP,2021,21,0,47,0,0
11693,Femenino,Docente,Canelones,DGEIP,2021,130,708,1886,0,0
11851,Masculino,Docente,Florida,DGES,2021,88,20,582,1,0
12131,Femenino,Docente,Florida,DGEIP,2021,0,0,0,0,0
12149,Femenino,Docente,Canelones,DGEIP,2021,0,0,0,0,0
12569,Femenino,Docente,Canelones,DGEIP,2021,117,373,2201,3,2
