Id persona,Sexo,Rol,Departamento,Subsistema,Año lectivo,Cantidad de días ingreso a CREA,Cantidad de Comentarios posteados ,Cantidad de Acciones totales ,Cantidad de días de ingreso a Biblioteca,Cantidad de préstamos en biblioteca
6651,Femenino,Docente,Tacuarembo,DGES,2022,124,73,770,0,0
9251,Masculino,Docente,Florida,DGES,2022,7,0,11,0,0
9269,Femenino,Docente,Florida,DGEIP,2022,0,0,0,0,0
9629,Femenino,Docente,Canelones,DGEIP,2022,58,10,577,0,0
9667,Femenino,Docente,Florida,DGEIP,2022,0,0,0,1,0
9669,Femenino,Docente,Canelones,DGEIP,2022,19,0,45,18,25
9671,Femenino,Docente,Canelones,DGEIP,2022,7,1,16,0,0
9674,Femenino,Docente,Canelones,DGEIP,2022,16,2,19,0,0
9724,Femenino,Docente,Florida,DGEIP,2022,56,3,421,1,0
9830,Masculino,Docente,Montevideo,DGES,2022,46,0,91,0,0
9830,Masculino,Docente,Montevideo,DGETP,2022,46,0,91,0,0
9850,Femenino,Docente,Florida,DGEIP,2022,9,0,14,0,0
9889,Femenino,Docente,Florida,DGEIP,2022,14,1,60,7,13
9902,Masculino,Docente,Florida,DGES,2022,95,1,213,1,1
9907,Femenino,Docente,Florida,DGES,2022,11,0,30,1,1
9907,Femenino,Docente,Florida,DGETP,2022,11,0,30,1,1
9917,Femenino,Docente,Montevideo,DGEIP,2022,6,0,6,0,0
9932,Femenino,Docente,Rivera,DGES,2022,28,0,30,3,3
9959,Masculino,Docente,Florida,DGES,2022,50,4,97,3,2
9974,Femenino,Docente,Florida,DGEIP,2022,38,0,307,0,0
9988,Femenino,Docente,Florida,DGEIP,2022,20,12,57,1,1
10044,Masculino,Docente,Canelones,DGETP,2022,1,0,1,0,0
10058,Femenino,Docente,Durazno,DGES,2022,163,13,1468,10,2
10058,Femenino,Docente,Durazno,DGETP,2022,163,13,1468,10,2
10242,Femenino,Docente,Florida,DGES,2022,66,24,281,0,0
10242,Femenino,Docente,Florida,DGETP,2022,66,24,281,0,0
10731,Femenino,Docente,Florida,DGES,2022,127,19,356,17,4
10751,Masculino,Docente,Florida,DGES,2022,70,11,174,54,19
10763,Femenino,Docente,Florida,DGEIP,2022,2,0,2,1,1
10770,Femenino,Docente,Florida,DGES,2022,50,1,123,0,0
10771,Femenino,Docente,Canelones,DGEIP,2022,59,13,318,3,1
10778,Femenino,Docente,Canelones,DGES,2022,8,0,10,0,0
10778,Femenino,Docente,Florida,DGETP,2022,8,0,10,0,0
10795,Masculino,Docente,Florida,DGES,2022,35,5,44,6,4
10795,Masculino,Docente,Florida,DGETP,2022,35,5,44,6,4
11011,Femenino,Docente,Florida,DGES,2022,136,26,964,10,3
11052,Femenino,Docente,Florida,DGES,2022,0,0,0,0,0
11060,Masculino,Docente,Florida,DGES,2022,119,26,703,10,3
11068,Femenino,Docente,Canelones,DGEIP,2022,54,0,104,0,0
11071,Femenino,Docente,Florida,DGEIP,2022,112,26,434,3,0
11074,Femenino,Docente,Canelones,DGEIP,2022,14,0,257,0,0
11217,Femenino,Docente,Canelones,DGEIP,2022,50,1,226,0,0
11221,Femenino,Docente,Canelones,DGEIP,2022,26,0,139,0,0
11225,Femenino,Docente,Montevideo,DGES,2022,33,17,71,2,1
11327,Femenino,Docente,Lavalleja,DGEIP,2022,5,8,22,0,0
11412,Femenino,Docente,Canelones,DGEIP,2022,17,1,80,0,0
11439,Femenino,Docente,Canelones,DGEIP,2022,3,0,3,0,0
11475,Femenino,Docente,Colonia,DGETP,2022,0,0,0,0,0
11499,Femenino,Docente,Canelones,DGEIP,2022,55,14,369,2,1
11504,Femenino,Docente,Canelones,DGEIP,2022,11,0,14,0,0
11517,Masculino,Docente,Florida,DGES,2022,99,18,358,2,1
11517,Masculino,Docente,Florida,DGETP,2022,99,18,358,2,1
11520,Masculino,Docente,Florida,DGES,2022,70,1,410,0,0
11609,Femenino,Docente,Canelones,DGES,2022,85,5,612,0,0
11645,Femenino,Docente,Florida,DGES,2022,50,1,128,1,0
11657,Femenino,Docente,Canelones,DGEIP,2022,21,11,163,0,0
11673,Femenino,Docente,Florida,DGES,2022,109,13,491,0,0
11692,Femenino,Docente,Canelones,DGEIP,2022,43,10,183,0,0
11693,Femenino,Docente,Canelones,DGEIP,2022,6,0,15,0,0
11706,Femenino,Docente,Montevideo,DGES,2022,6,0,0,35,5
11834,Masculino,Docente,Florida,DGES,2022,4,0,4,1,1
11839,Masculino,Docente,Florida,DGES,2022,57,10,140,4,4
11851,Masculino,Docente,Florida,DGES,2022,24,1,47,0,0
11879,Femenino,Docente,Maldonado,DGES,2022,0,0,0,17,8
12131,Femenino,Docente,Florida,DGEIP,2022,1,0,1,1,0
12149,Femenino,Docente,Florida,DGEIP,2022,0,0,0,0,0
12157,Femenino,Docente,Florida,DGEIP,2022,3,0,11,0,0
12569,Femenino,Docente,Canelones,DGEIP,2022,121,89,640,5,6
12613,Femenino,Docente,Florida,DGEIP,2022,91,30,600,0,0
12622,Femenino,Docente,Canelones,DGES,2022,123,37,982,1,1
12628,Femenino,Docente,Florida,DGEIP,2022,31,14,95,0,0
12663,Femenino,Docente,Florida,DGEIP,2022,16,0,48,11,8
12721,Femenino,Docente,Canelones,DGETP,2022,103,10,408,1,1
12760,Femenino,Docente,Canelones,DGEIP,2022,175,68,1278,1,1
12893,Femenino,Docente,Canelones,DGEIP,2022,90,2,256,1,1
12907,Femenino,Docente,Florida,DGES,2022,95,13,298,0,0
12972,Femenino,Docente,Florida,DGES,2022,46,0,117,1,1
12988,Masculino,Docente,San Jose,DGES,2022,38,9,132,0,0
12988,Masculino,Docente,San Jose,DGETP,2022,38,9,132,0,0
13018,Femenino,Docente,Canelones,DGEIP,2022,24,2,59,16,4
13064,Femenino,Docente,Lavalleja,DGES,2022,5,0,5,0,0
13217,Masculino,Docente,Salto,DGES,2022,22,12,37,0,0
13253,Masculino,Docente,Florida,DGEIP,2022,21,0,56,0,0
13272,Femenino,Docente,Canelones,DGES,2022,116,26,730,0,0
13273,Femenino,Docente,Canelones,DGES,2022,78,16,171,1,0
13273,Femenino,Docente,Canelones,DGETP,2022,78,16,171,1,0
13288,Femenino,Docente,Canelones,DGEIP,2022,48,0,76,1,0
13308,Masculino,Docente,Florida,DGES,2022,19,15,79,0,0
13308,Masculino,Docente,Florida,DGETP,2022,19,15,79,0,0
13311,Femenino,Docente,Florida,DGES,2022,123,13,578,0,0
13311,Femenino,Docente,Florida,DGETP,2022,123,13,578,0,0
13371,Femenino,Docente,Canelones,DGEIP,2022,81,1,211,0,0
13477,Femenino,Docente,San Jose,DGEIP,2022,0,0,0,0,0
13538,Femenino,Docente,Montevideo,DGES,2022,5,0,5,0,0
13565,Femenino,Docente,Montevideo,DGETP,2022,1,0,1,0,0
13577,Masculino,Docente,San Jose,DGES,2022,107,17,456,1,1
13683,Femenino,Docente,Florida,DGES,2022,72,64,348,0,0
13689,Femenino,Docente,Florida,DGES,2022,4,0,4,0,0
13692,Femenino,Docente,Florida,DGEIP,2022,2,0,3,2,2
13700,Femenino,Docente,Florida,DGEIP,2022,88,0,370,0,0
13703,Femenino,Docente,Colonia,DGETP,2022,0,0,0,3,1
13816,Masculino,Docente,Canelones,DGES,2022,57,0,209,0,0
13816,Masculino,Docente,Canelones,DGETP,2022,57,0,209,0,0
13826,Femenino,Docente,Florida,DGES,2022,44,22,152,1,1
13861,Femenino,Docente,Canelones,DGEIP,2022,29,5,60,0,0
13869,Femenino,Docente,Florida,DGES,2022,137,21,393,7,4
13885,Femenino,Docente,Florida,DGES,2022,97,6,277,38,5
13885,Femenino,Docente,Florida,DGETP,2022,97,6,277,38,5
13950,Femenino,Docente,Florida,DGEIP,2022,11,1,172,0,0
13997,Femenino,Docente,Montevideo,DGEIP,2022,3,0,5,0,0
14007,Femenino,Docente,Florida,DGES,2022,154,42,1229,0,0
14009,Femenino,Docente,Florida,DGES,2022,84,55,330,1,0
14009,Femenino,Docente,Florida,DGETP,2022,84,55,330,1,0
14028,Femenino,Docente,Montevideo,DGES,2022,15,11,68,3,3
14030,Femenino,Docente,Florida,DGES,2022,89,13,306,2,1
14151,Femenino,Docente,Florida,DGES,2022,150,38,743,7,5
14151,Femenino,Docente,Canelones,DGETP,2022,150,38,743,7,5
14153,Masculino,Docente,Florida,DGEIP,2022,0,0,0,0,0
14161,Femenino,Docente,Florida,DGES,2022,1,0,1,18,6
14235,Femenino,Docente,Florida,DGES,2022,59,38,235,0,0
14300,Femenino,Docente,Florida,DGES,2022,8,0,17,8,3
14439,Femenino,Docente,Montevideo,DGEIP,2022,131,8,712,4,7
14449,Femenino,Docente,Canelones,DGEIP,2022,63,13,280,0,0
14456,Femenino,Docente,Canelones,DGEIP,2022,56,1,233,0,0
14482,Femenino,Docente,Florida,DGEIP,2022,26,0,10,2,1
14490,Femenino,Docente,Florida,DGEIP,2022,2,0,2,1,2
14654,Masculino,Docente,Durazno,DGES,2022,0,0,0,5,1
14708,Femenino,Docente,Canelones,DGES,2022,71,15,76,2,3
14708,Femenino,Docente,Canelones,DGETP,2022,71,15,76,2,3
14709,Femenino,Docente,Florida,DGEIP,2022,3,6,22,0,0
14746,Femenino,Docente,Canelones,DGETP,2022,24,1,110,0,0
14846,Masculino,Docente,Canelones,DGES,2022,154,59,1031,16,6
14862,Femenino,Docente,Florida,DGEIP,2022,25,0,62,0,0
14867,Masculino,Docente,San Jose,DGES,2022,15,0,40,0,0
14869,Masculino,Docente,Canelones,DGES,2022,38,0,110,3,0
14869,Masculino,Docente,Florida,DGETP,2022,38,0,110,3,0
14923,Femenino,Docente,Florida,DGES,2022,105,80,455,0,0
14946,Femenino,Docente,Florida,DGES,2022,100,15,337,47,4
14946,Femenino,Docente,Canelones,DGETP,2022,100,15,337,47,4
14960,Femenino,Docente,Canelones,DGEIP,2022,3,0,3,0,0
15037,Masculino,Docente,Florida,DGES,2022,21,17,69,1,0
15081,Masculino,Docente,Florida,DGES,2022,97,12,427,24,4
15089,Femenino,Docente,Florida,DGEIP,2022,36,1,67,4,3
15105,Femenino,Docente,Florida,DGES,2022,24,5,221,0,0
15245,Femenino,Docente,Florida,DGEIP,2022,1,0,1,0,0
15301,Femenino,Docente,Florida,DGEIP,2022,0,0,0,0,0
15311,Femenino,Docente,Canelones,DGEIP,2022,13,3,23,0,0
15369,Femenino,Docente,Florida,DGES,2022,86,89,541,0,0
15387,Femenino,Docente,Canelones,DGEIP,2022,81,6,394,1,1
15429,Femenino,Docente,Florida,DGEIP,2022,4,0,5,0,0
15447,Femenino,Docente,Florida,DGEIP,2022,1,0,1,0,0
15574,Masculino,Docente,Florida,DGETP,2022,8,5,26,0,0
15593,Femenino,Docente,Florida,DGES,2022,109,10,256,33,9
15714,Masculino,Docente,Montevideo,DGES,2022,0,0,0,0,0
15837,Femenino,Docente,Montevideo,DGEIP,2022,85,7,464,0,0
15915,Femenino,Docente,Montevideo,DGEIP,2022,5,0,5,1,0
15932,Masculino,Docente,Florida,DGES,2022,62,50,185,0,0
15933,Femenino,Docente,Florida,DGES,2022,7,0,13,12,2
16212,Masculino,Docente,Canelones,DGES,2022,48,18,170,1,4
16280,Femenino,Docente,Florida,DGES,2022,23,24,172,0,0
16281,Femenino,Docente,Florida,DGEIP,2022,6,1,13,1,1
16285,Femenino,Docente,Florida,DGES,2022,115,17,709,2,0
16285,Femenino,Docente,Florida,DGETP,2022,115,17,709,2,0
16303,Femenino,Docente,Florida,DGEIP,2022,2,0,2,25,11
16307,Femenino,Docente,Canelones,DGEIP,2022,6,0,34,0,0
16518,Femenino,Docente,Canelones,DGEIP,2022,1,0,1,0,0
16525,Femenino,Docente,Canelones,DGEIP,2022,2,0,2,2,5
16552,Femenino,Docente,Florida,DGEIP,2022,2,0,2,0,0
16584,Femenino,Docente,Canelones,DGEIP,2022,9,0,26,0,0
16692,Masculino,Docente,Florida,DGES,2022,245,66,839,111,8
16728,Masculino,Docente,Florida,DGETP,2022,7,0,8,4,2
16818,Femenino,Docente,Florida,DGEIP,2022,2,0,1,1,1
16847,Masculino,Docente,Florida,DGES,2022,37,0,97,0,0
17075,Masculino,Docente,Florida,DGEIP,2022,12,0,20,2,4
17275,Femenino,Docente,Florida,DGEIP,2022,2,0,13,0,0
17279,Femenino,Docente,Florida,DGEIP,2022,125,1,931,4,3
17281,Femenino,Docente,Florida,DGEIP,2022,0,0,0,0,0
17285,Femenino,Docente,Florida,DGEIP,2022,0,0,0,0,0
17294,Femenino,Docente,Florida,DGEIP,2022,173,2,1664,1,0
17295,Femenino,Docente,Florida,DGEIP,2022,3,0,4,0,0
17297,Femenino,Docente,Florida,DGEIP,2022,113,2,244,8,5
17300,Femenino,Docente,Florida,DGEIP,2022,202,37,804,12,7
17302,Femenino,Docente,Florida,DGEIP,2022,82,6,212,126,13
17303,Femenino,Docente,Florida,DGEIP,2022,46,0,676,2,4
17304,Femenino,Docente,Florida,DGEIP,2022,70,7,263,0,0
17304,Femenino,Docente,Florida,DGES,2022,70,7,263,0,0
17308,Femenino,Docente,Florida,DGEIP,2022,6,0,5,0,0
17309,Femenino,Docente,Florida,DGEIP,2022,108,3,339,14,12
17311,Femenino,Docente,Florida,DGEIP,2022,12,0,36,0,0
17312,Femenino,Docente,Florida,DGEIP,2022,55,4,248,4,1
17326,Femenino,Docente,Florida,DGEIP,2022,44,0,138,1,1
17327,Femenino,Docente,Florida,DGEIP,2022,24,1,52,0,0
17328,Femenino,Docente,Florida,DGEIP,2022,34,0,91,0,0
17329,Femenino,Docente,Canelones,DGEIP,2022,8,36,97,0,0
17331,Femenino,Docente,Canelones,DGEIP,2022,8,0,26,0,0
17337,Femenino,Docente,Florida,DGEIP,2022,14,0,50,10,7
17338,Femenino,Docente,Florida,DGEIP,2022,103,10,419,1,1
17339,Femenino,Docente,Canelones,DGEIP,2022,105,2,249,3,2
17361,Femenino,Docente,Florida,DGEIP,2022,14,0,32,4,2
17362,Femenino,Docente,Florida,DGEIP,2022,1,0,1,7,4
17364,Femenino,Docente,Florida,DGEIP,2022,77,9,385,13,3
17367,Femenino,Docente,Florida,DGEIP,2022,0,0,0,0,0
