nombreDeAtributo,descripcion,tipoDeDato,informacionAdicional
Id persona,Identificador único por persona ,String,Se mantiene el mismo id.persona en cada año lectivo en los que fue reportado por el sistema educativo púbico en algún momento del año.
Sexo,"La identificación del sexo especificada en este Elemento de Datos se refiere exclusivamente al sexo de nacimiento desde el punto de vista administrativo, comúnmente usado en los trámites generales del Estado",String,"Valor permitido: ""Femenino"",""Masculino"", ""Sin Dato"" "
Rol,Corresponde al rol con el que fue reportado por las interfases de los subsistemas educativos en cada año lectivo,String,"Valor permitido: ""Docente"" "
Departamento,Nombre del departamento donde está ubicado el centro educativo público en el que la persona fue reportada por el sistema educativo en cada año lectivo,String,"Valor permitido: ""Artigas"", ""Canelones"",""Cerro Largo"",""Colonia"",""Durazno"",""Flores"",""Florida"",""Lavalleja"",""Maldonado"",""Montevideo"",""Paysandu"",""Río Negro"",""Rivera"",""Rocha"",""Salto"",""San Jose"",""Soriano"",""Tacuarembo"",""Treinta y Tres"" "
Subsistema,"Corresponde a la Dirección General de Educación en la que fue reportada la persona con el rol indicado en algún momento del año, para cada año lectivo",String,"Valor permitido: ""DGEIP"" (Dirección General de Educación Inicial y Primaria), ""DGES"" (Dirección General de Educación Secundaria),""DGETP"" (Dirección General de Educación Técnico Profesional)"
Año lectivo,Año lectivo en el que fue reportado por algún subsistema educativo con el rol indicado en algún centro educativo público,String,"Valor: ""2019"",""2020"",""2021"",""2022"" "
Cantidad de días ingreso a CREA,"Cantidad de días diferentes en que la persona registró al
menos un evento de cualquier tipo en el año lectivo",Numeric,"Se considera un día de ingreso aquel día en que el usuario realizó algún tipo de actividad en la plataforma. Cuenta el total de días distintos desde el 1° de enero del año lectivo al 31 de diciembre en que ingresó a la plataforma y realizó algún evento/acción en la misma durante ese día independientemente de en qué curso lo realizó. Cabe aclarar, que una persona que en el mismo año lectivo se encuentra dictando clase en más de un subsistema aparecerá duplicado en ese año lectivo y los días de ingreso a la plataforma CREA serán los mismos dado que el dato es a nivel de la persona."
Cantidad de Comentarios posteados en CREA,"Corresponde al total de comentarios posteados ya sea
en cursos, actualizaciones (updates), tareas, envío de tareas o foros de discusión en la
plataforma CREA.",Numeric,"Suma el total de comentarios desde el 1° de enero del año lectivo al 31 de diciembre independientemente de en qué curso, foro, tareas lo realizó.  Cabe aclarar, que una persona que en el mismo año lectivo se encuentra dictando clase en más de un subsistema aparecerá duplicado en ese año lectivo y los comentarios posteados en CREA serán los mismos dado que el dato es a nivel de la persona."
Cantidad de Acciones totales en CREA,"Corresponde a la cantidad total de acciones realizadas por un
usuario en la plataforma CREA en el año lectivo.",Numeric,"Se consideran todas las acciones que se eventos de creación de usuarios, ya que estos no se consideran como actividad real del usuario en la plataforma; ii) las visitas a recursos, ya que no se cuenta con el dato de cantidad de recursos visitados sino solamente se conoce si un usuario visitó o no al menos un recurso en un día dado. Suma el total de todas estas acciones desde el 1° de enero del año lectivo al 31 de diciembre. Cabe aclarar, que una persona que en el mismo año lectivo se encuentra dictando clase en más de un subsistema aparecerá duplicado en ese año lectivo y el total de acciones en CREA serán los mismos dado que el dato es a nivel de la persona."
Cantidad de días de ingreso a Biblioteca,"Corresponde a la cantidad de días diferentes en
que el usuario registró al menos un evento de cualquier tipo en cada año lectivo.",Numeric,"Se considera un día de ingreso aquel día en que el usuario realizó algún tipo de actividad en la Biblioteca País no solo login. Cabe aclarar, que una persona que en el mismo año lectivo se encuentra dictando clase en más de un subsistema aparecerá duplicado en ese año lectivo y el total de dias de ingreso a la Biblioteca serán los mismos dado que el dato es a nivel de la persona."
Cantidad de prestamos en Biblioteca,Corresponde al total de préstamos realizados en la Biblioteca País durante el año lectivo,Numeric,Suma del total de recursos prestados en la Biblioteca País por la persona entre el 1° de enero y 31 diciembre del año lectivo.
